epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1051.04,1.7177,3.38273,1.94106,0.00736,0.90321,0.16283,0.05574,1.48736,3.61907,1.68557,0.0001667,0.0001667,0.0001667
2,1927.12,1.5638,2.28924,1.76516,0.0083,0.86399,0.24596,0.10308,1.50678,3.31585,1.54895,0.000315413,0.000315413,0.000315413
3,2804.1,1.49189,2.03716,1.63067,0.54588,0.36174,0.32982,0.18875,1.47504,3.2629,1.59998,0.000427819,0.000427819,0.000427819
4,31048.9,1.4661,1.93852,1.62274,0.77428,0.1242,0.43661,0.27048,1.58025,3.00584,1.61447,0.000503917,0.000503917,0.000503917
5,32169.1,1.46374,1.83965,1.60926,0.75781,0.2293,0.58068,0.35744,1.65437,2.79854,1.72076,0.000543709,0.000543709,0.000543709
6,33285.2,1.46824,1.79,1.62035,0.74723,0.14968,0.60064,0.39384,1.68972,2.88732,1.6989,0.000547193,0.000547193,0.000547193
7,34320.3,1.49141,1.70639,1.65073,0.65841,0.60917,0.62845,0.44076,1.71387,2.54757,1.69908,0.00051437,0.00051437,0.00051437
8,38273.2,1.4266,1.6152,1.58227,0.77798,0.76585,0.75714,0.50107,1.5999,2.08033,1.60412,0.000445239,0.000445239,0.000445239
9,39204.8,1.36373,1.52994,1.53895,0.74287,0.74841,0.75326,0.50937,1.55217,2.03002,1.56794,0.000339801,0.000339801,0.000339801
10,40171.8,1.32503,1.43737,1.48961,0.7963,0.76573,0.78679,0.51853,1.55018,1.83771,1.56906,0.000181703,0.000181703,0.000181703
